Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.000    0.000 pathlib.py:52(_ignore_error)
        4    0.000    0.000    0.079    0.020 contextlib.py:78(inner)
     7951    0.009    0.000    0.009    0.000 inspect.py:1832(_shadowed_dict)
       41    0.000    0.000    0.000    0.000 inspect.py:2538(<lambda>)
      568    0.000    0.000    0.000    0.000 _parser.py:256(match)
      202    0.000    0.000    0.000    0.000 _parser.py:293(tell)
    10244    0.005    0.000    0.007    0.000 _parser.py:176(append)
    10394    0.004    0.000    0.007    0.000 _parser.py:261(get)
        2    0.000    0.000    0.000    0.000 _parser.py:295(seek)
       23    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       22    0.000    0.000    0.000    0.000 traceback.py:312(_original_line)
      132    0.000    0.000    0.001    0.000 traceback.py:391(extended_frame_gen)
       72    0.000    0.000    0.028    0.000 tokenize.py:384(read_or_stop)
        1    0.000    0.000    0.000    0.000 contextlib.py:359(__exit__)
       29    0.000    0.000    0.000    0.000 contextlib.py:548(_push_exit_callback)
     4422    0.002    0.000    0.002    0.000 inspect.py:298(ismodule)
       71    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
    31448    0.014    0.000    0.020    0.000 inspect.py:378(isfunction)
        5    0.000    0.000    0.000    0.000 inspect.py:427(iscoroutinefunction)
       53    0.000    0.000    0.000    0.000 inspect.py:475(istraceback)
       50    0.000    0.000    0.000    0.000 inspect.py:485(isframe)
       40    0.000    0.000    0.000    0.000 inspect.py:499(iscode)
      218    0.000    0.000    0.000    0.000 inspect.py:524(isbuiltin)
        3    0.000    0.000    0.000    0.000 dis.py:366(_get_const_value)
     2955    0.001    0.000    0.002    0.000 inspect.py:958(<genexpr>)
     2954    0.001    0.000    0.002    0.000 inspect.py:961(<genexpr>)
        3    0.000    0.000    0.016    0.005 inspect.py:1279(getsource)
        2    0.000    0.000    0.000    0.000 dis.py:199(_get_code_array)
        1    0.000    0.000    0.000    0.000 contextlib.py:65(_recreate_cm)
      287    0.000    0.000    0.000    0.000 contextlib.py:443(__enter__)
       56    0.000    0.000    0.000    0.000 contextlib.py:564(__enter__)
       51    0.002    0.000    0.002    0.000 contextlib.py:778(__exit__)
     1087    0.000    0.000    0.000    0.000 inspect.py:608(<lambda>)
        2    0.000    0.000    0.001    0.000 traceback.py:29(format_list)
       29    0.000    0.000    0.067    0.002 traceback.py:377(extract)
       24    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       19    0.000    0.000    0.000    0.000 contextlib.py:543(_push_cm_exit)
      132    0.001    0.000    0.001    0.000 traceback.py:327(walk_stack)
       17    0.001    0.000    0.039    0.002 tokenize.py:453(open)
      119    0.000    0.000    0.000    0.000 weakref.py:75(__eq__)
        4    0.000    0.000    0.000    0.000 inspect.py:1813(_shadowed_dict_from_weakref_mro_tuple)
       94    0.000    0.000    0.005    0.000 linecache.py:52(checkcache)
       59    0.001    0.000    0.029    0.000 tokenize.py:360(detect_encoding)
        1    0.000    0.000    0.000    0.000 random.py:291(randrange)
        8    0.000    0.000    0.000    0.000 subprocess.py:300(_args_from_interpreter_flags)
